last,first,state,cabc,caic,cbill,claw,cpass,sabc,saic,sbill,slaw,spass,ssabc,ssaic,ssbill,sslaw,sspass,congress,cgnum,icpsr,year,dem,majority,elected,female,afam,latino,votepct,dwnom1,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,allbill,allaic,allabc,allpass,alllaw,les,lagles,meddist,power,up_for_reelection,freshman,majparty_dist,deleg_size,benchmark,expectation,cong_icpsr,icpsr_2,name,party,count_co_by_mem_sn,count_spon_by_mem_sn,count_dem_co_sn,count_rep_co_sn,count_spon_cosponsored_SN,mean_cospon_spon_SN,mean_pct_cospon_opp_spon_SN,count_opposing_co_spon_sn,cong,cong_icpsr_2,count_co_by_mem_sn_nc,count_spon_by_mem_sn_nc,count_dem_co_sn_nc,count_rep_co_sn_nc,count_spon_cosponsored_SN_nc,mean_cospon_spon_SN_nc,mean_pct_cospon_opp_spon_SN_nc,count_opposing_co_spon_sn_nc,mean_prop_cospon_opp_spon_SN_ss,prop_co_bipart_ss,votepct_sq,perc_co_bipart,mean_prop_cospon_opp_spon_SN,prop_co_bipart,pct_aic,pct_abc,pct_pass,pct_law,gridlock,post1994,bipart_sq,prop_spon_bi_cospon,prop_spon_bi_cospon_all,count_spon_no_cospon,prop_spon_no_cospon,mean_prop_cospon_opp_spon_SN_nc,perc_co_bipart_nc,prop_co_bipart_nc,normbipart,time,majsize,majmargin,demmd,repmd,ptydiff,normptydiff,normvotepct,nonclaw
Heflin,Howell,AL,3,3,9,1,3,0,18,30,0,0,1,1,1,0,1,97,454,14705,1980,1,0,1978,0,0,0,94,-0.10700000077486038,0,0,2,0,0,0,0,40,22,4,4,1,0.6380925178527832,0.6908807754516602,0.12399999797344208,0,0,0,0.37469810247421265,7,0.3883307278156281,3,97.14705,14705,336,100,143,40,61,82,11,3.81818181818182,37.9220779220779,6,97,97.14705,140,31,59,81,9,4.44444444444444,24.1269841269841,4,0.571428571428571,0.870967741935484,8836,57.34266,0.37922078,0.5734266,55,10,100,25,97.5,0,0.14380841,0.54545456,0.15,29,0.725,0.24126984,57.857143,0.57857144,-0.103750676,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,3.630283,0
Bumpers,Dale,AR,0,0,1,0,0,1,6,11,0,1,0,0,0,0,0,97,421,14300,1980,1,0,1974,0,0,0,59,-0.33399999141693115,0,0,4,0,0,0,0,12,6,1,1,0,0.20808005332946777,0.6688924431800842,0.35099998116493225,1,0,0,0.601698100566864,4,0.4539482593536377,1,97.143,14300,96,100,83,12,46,37,8,5.25,14.5833333333333,2,97,97.143,79,11,43,36,8,5.25,14.5833333333333,2,NA,0.666666666666667,3481,44.578312,0.14583333,0.4457831,50,8.333333,100,0,100,0,0.02126736,0.25,0.16666667,4,0.33333334,0.14583333,45.569622,0.45569623,-1.3289801,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.079199575,0
Pryor,David,AR,0,1,2,0,0,0,6,13,0,0,1,1,1,0,1,97,488,10791,1980,1,0,1978,0,0,0,77,-0.2440000027418137,0,0,2,1,0.11500000208616255,0,0,16,8,1,1,0,0.33508870005607605,0.4041617512702942,0.26100000739097595,0,0,0,0.5116981267929077,4,0.3883307278156281,2,97.10791,10791,566,100,122,16,69,53,13,5.38461538461539,30.9116809116809,7,97,97.10791,120,14,68,52,12,5.75,33.4876543209877,7,0.518518518518518,0.65,5929,43.442623,0.3091168,0.43442622,50,6.25,100,0,100,0,0.095553204,0.53846157,0.4375,3,0.1875,0.33487654,43.333332,0.4333333,-0.4717801,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,1.8285344,0
DeConcini,Dennis,AZ,0,0,0,0,0,5,26,47,0,3,4,5,5,1,1,97,433,14502,1980,1,0,1976,0,0,0,54,-0.2029999941587448,0,0,3,0,0,0,0,52,31,9,4,1,1.536733627319336,3.630931854248047,0.2199999988079071,1,1,0,0.4706980884075165,4,0.4211394786834717,3,97.14502,14502,203,100,192,52,82,110,29,5.27586206896552,63.7934260153393,23,97,97.14502,189,52,80,109,29,5.27586206896552,63.7934260153393,23,0.721050454921423,0.869565217391304,2916,57.291668,0.63793427,0.5729167,59.615383,17.307692,44.444443,25,98.07692,0,0.40696013,0.79310346,0.44230768,23,0.44230768,0.63793427,57.67196,0.5767196,1.2544345,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.6091257,1
Goldwater,Barry,AZ,0,0,2,0,0,6,11,14,1,3,8,9,9,1,5,97,446,3658,1980,0,1,1968,0,0,0,50,0.6290000081062317,0,1,7,0,0,0,0,25,20,14,8,2,2.072746992111206,0.5579801797866821,0.6119999885559082,0,0,0,0.3613018989562988,4,1.153036117553711,3,97.3658,3658,274,200,133,25,45,88,16,10.3125,52.1459312153529,14,97,97.3658,130,23,43,87,15,10.8666666666667,52.2889932963764,13,0.307109601988308,0.214285714285714,2500,33.834587,0.52145934,0.3383459,80,56,57.142857,25,92,0,0.27191985,0.875,0.56,9,0.36,0.5228899,33.076923,0.33076924,0.6429684,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-1.0330665,2
Cranston,Alan,CA,0,0,8,0,0,2,26,35,0,0,1,4,4,1,1,97,430,12103,1980,1,0,1968,0,0,0,57,-0.3840000033378601,0,0,7,0,0,0,1,47,30,3,1,1,1.0232205390930176,2.6053171157836914,0.4009999930858612,1,0,0,0.651698112487793,43,0.552374541759491,3,97.12103,12103,184,100,128,47,56,72,28,6.78571428571429,40.5710361067504,19,97,97.12103,121,39,54,67,26,7.23076923076923,35.9995773457312,17,0.142857142857143,0.772727272727273,3249,56.25,0.40571037,0.5625,63.82979,6.382979,33.333332,100,97.87234,0,0.16460091,0.6785714,0.40425533,19,0.40425533,0.35999578,55.371902,0.55371904,0.035313435,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.29117,1
Hayakawa,Samuel,CA,4,4,10,0,4,2,20,30,1,1,0,3,3,0,0,97,453,14504,1980,0,1,1976,0,0,0,50,0.3970000147819519,0,1,3,0,0,0,0,43,27,6,5,1,0.7687629461288452,0.3303857445716858,0.3800000250339508,1,1,0,0.12930192053318024,43,1.0218009948730469,2,97.14504,14504,332,200,97,43,20,77,21,3.23809523809524,61.8650793650794,17,97,97.14504,92,33,17,75,20,3.35,59.9583333333333,16,0.2625,0.0967741935483871,2500,20.618557,0.6186508,0.20618556,62.7907,13.953488,83.333336,20,97.674416,0,0.38272882,0.8095238,0.39534885,22,0.5116279,0.5995833,18.47826,0.1847826,1.1532007,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-1.0330665,1
Armstrong,William,CO,0,0,1,0,0,1,12,23,0,0,0,3,3,0,0,97,412,14002,1980,0,1,1978,0,0,0,59,0.5249999761581421,0,1,2,1,0.2840000092983246,0,0,27,15,1,0,0,0.38793087005615234,0.3552420735359192,0.5079999566078186,1,0,0,0.25730186700820923,5,0.9889922142028807,1,97.14002,14002,18,200,55,27,9,46,16,7.875,30.6162904124861,12,97,97.14002,53,26,7,46,16,7.875,30.6162904124861,12,0.146739130434783,0,3481,16.363636,0.3061629,0.16363636,55.555557,3.7037036,0,NA,100,0,0.09373572,0.75,0.44444445,11,0.4074074,0.3061629,13.207547,0.13207547,-0.48728746,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.079199575,0
Hart,Gary,CO,0,1,1,0,0,1,11,22,0,1,0,1,1,0,0,97,449,14305,1980,1,0,1974,0,0,0,50,-0.4059999883174896,0,0,4,0,0,0,0,24,13,1,1,0,0.35998639464378357,1.959492325782776,0.4229999780654907,0,0,0,0.6736980676651001,5,0.4539482593536377,2,97.14305,14305,313,100,59,24,23,36,15,5.26666666666667,26.4484126984127,7,97,97.14305,57,23,22,35,14,5.57142857142857,21.1947278911565,6,NA,0.692307692307692,2500,61.01695,0.26448414,0.6101695,54.166668,4.1666665,100,0,100,0,0.06995186,0.46666667,0.29166666,9,0.375,0.21194728,61.403507,0.61403507,-0.70609117,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-1.0330665,0
Dodd,Christopher,CT,0,0,1,0,0,1,15,20,0,0,0,0,0,0,0,97,436,14213,1980,1,0,1980,0,0,0,56,-0.32100000977516174,0,0,1,0,0,0,0,21,15,1,0,0,0.3014524579048157,NA,0.33799999952316284,1,0,1,0.5886980891227722,6,0.35552194714546204,2,97.14213,14213,210,100,66,21,35,31,11,4.27272727272727,47.5699300699301,7,97,97.14213,64,20,33,31,11,4.27272727272727,47.5699300699301,7,NA,0.733333333333333,3136,46.969696,0.4756993,0.46969697,71.42857,4.7619047,0,NA,100,0,0.22628982,0.6363636,0.33333334,10,0.47619048,0.4756993,48.4375,0.484375,0.40273893,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.39715523,0
Weicker,Lowell,CT,0,0,0,0,0,4,19,24,0,2,3,2,3,0,0,97,508,12032,1980,0,1,1970,0,0,0,58,-0.00999999977648258,1,1,6,1,0.20000000298023224,0,0,27,21,7,2,0,0.8050376176834106,0.2254528850317001,0.02700000070035457,1,1,0,0.2776980996131897,6,2.3015778064727783,1,97.12032,12032,723,200,85,27,36,49,17,10.0588235294118,55.1138671414891,15,97,97.12032,82,27,35,47,17,10.0588235294118,55.1138671414891,15,0.705882352941177,0.210526315789474,3364,42.35294,0.5511387,0.4235294,77.77778,25.925926,28.571428,0,100,0,0.30375385,0.88235295,0.5555556,10,0.37037036,0.5511387,42.682926,0.42682925,0.79877806,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.18518479,0
Biden,Joseph,DE,0,0,0,0,0,0,4,7,0,0,2,2,2,1,2,97,416,14101,1980,1,0,1972,0,0,0,58,-0.36800000071525574,0,0,5,0,0,0,0,9,6,2,2,1,0.6602144241333008,0.5682711601257324,0.3849999904632568,1,0,0,0.6356980800628662,1,0.4867570400238037,2,97.14101,14101,55,100,52,9,18,34,3,10.3333333333333,50.9803921568627,2,97,97.14101,49,9,16,33,3,10.3333333333333,50.9803921568627,2,0.764705882352941,0.833333333333333,3364,65.38461,0.50980395,0.65384614,66.666664,22.222221,100,50,88.888885,0,0.25990006,0.6666667,0.22222222,6,0.6666667,0.50980395,67.34694,0.67346936,0.5817803,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.18518479,1
Roth Jr.,William,DE,0,0,1,0,0,5,34,45,1,4,1,1,2,1,1,97,492,11044,1980,0,1,1970,0,0,0,56,0.2809999883174896,1,1,6,0,0,0,0,48,35,6,5,2,1.4573945999145508,0.4007475674152374,0.2639999985694885,1,1,0,0.0133018884807825,1,2.3015778064727783,2,97.11044,11044,594,200,81,48,32,49,25,4.64,51.4128205128205,22,97,97.11044,78,47,30,48,25,4.64,51.4128205128205,22,0,0.24,3136,39.506172,0.5141282,0.39506173,72.916664,12.5,83.333336,40,95.833336,0,0.26432782,0.88,0.45833334,23,0.47916666,0.5141282,38.46154,0.3846154,0.60448164,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.39715523,2
Chiles,Lawton,FL,1,2,2,0,1,0,12,22,0,0,0,2,2,0,0,97,427,13101,1980,1,0,1970,0,0,0,63,-0.19200000166893005,0,0,6,1,0.2240000069141388,0,0,26,16,1,1,0,0.3410568833351135,0.6211440563201904,0.20900000631809235,1,1,0,0.4596981108188629,15,0.5195658206939697,2,97.13101,13101,143,100,117,26,51,66,9,5.22222222222222,30.3350970017637,5,97,97.13101,116,24,50,66,9,5.22222222222222,30.3350970017637,5,NA,0.789473684210526,3969,56.410255,0.30335096,0.56410253,61.53846,3.8461537,100,0,100,0,0.0920218,0.5555556,0.1923077,17,0.65384614,0.30335096,56.896553,0.56896555,-0.5020495,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.34474128,0
Hawkins,Paula,FL,0,0,0,0,0,0,6,16,0,0,2,3,3,0,1,97,452,14905,1980,0,1,1980,1,0,0,52,0.1469999998807907,0,1,1,0,0,0,0,19,9,2,1,0,0.4726040065288544,NA,0.12999999523162842,0,0,1,0.12069810181856155,15,0.9561834931373596,1,97.14905,14905,330,200,141,19,29,112,8,12.625,62.7509157509158,7,97,97.14905,139,19,28,111,8,12.625,62.7509157509158,7,0.426666666666667,0.0689655172413793,2704,20.567375,0.6275092,0.20567375,47.36842,10.526316,50,0,100,0,0.39376777,0.875,0.36842105000000003,11,0.57894737,0.6275092,20.143885,0.20143884,1.1997051,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.8210961,0
Mattingly,Mack,GA,0,1,1,0,0,2,9,12,0,1,1,1,1,0,0,97,474,14906,1980,0,1,1980,0,0,0,51,0.3089999854564667,0,1,1,0,0,0,0,14,11,3,1,0,0.3650020360946655,NA,0.2919999957084656,1,0,1,0.04130188375711441,10,0.9561834931373596,1,97.14906,14906,465,200,88,14,14,74,7,3.71428571428571,36.9642857142857,4,97,97.14906,85,13,13,72,6,4.16666666666667,26.4583333333333,3,NA,0,2601,15.909091,0.36964285,0.1590909,78.57143,21.428572,33.333332,0,100,0,0.13663584,0.5714286,0.2857143,7,0.5,0.26458332,15.294118,0.15294118,-0.15403256,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.92708135,0
Nunn,Sam,GA,0,0,0,0,0,0,8,16,0,0,1,1,1,0,1,97,482,14108,1980,1,0,1972,0,0,0,83,-0.12300000339746477,0,0,5,1,0.14000000059604645,0,0,17,9,1,1,0,0.36885979771614075,0.43292391300201416,0.14000000059604645,0,0,0,0.390698105096817,10,0.4867570400238037,2,97.14108,14108,536,100,104,17,37,67,13,9,31.6445113194339,10,97,97.14108,101,17,36,65,13,9,31.6445113194339,10,0.454545454545455,0.875,6889,64.42308,0.3164451,0.6442308,52.941177,5.882353,100,0,100,0,0.10013751,0.7692308,0.5882353,4,0.23529412,0.3164451,64.35644,0.6435644,-0.4333082,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,2.4644456,0
Inouye,Daniel,HI,2,2,34,0,2,3,39,71,0,2,0,0,0,0,0,97,460,4812,1980,1,0,1962,0,0,0,78,-0.32499998807907104,0,0,10,1,0.2460000067949295,0,1,105,41,5,4,0,1.093764305114746,2.748217821121216,0.34199997782707214,1,0,0,0.5926980972290039,2,0.650800883769989,3,97.4812,4812,371,100,149,105,70,79,52,3.13461538461538,10.7955586080586,11,97,97.4812,144,71,67,77,51,3.17647058823529,9.04645191409897,10,NA,0.783783783783784,6084,53.020134,0.10795558,0.5302013,39.04762,4.7619047,80,0,100,0,0.011654408,0.21153846,0.104761906,53,0.50476193,0.09046452,53.47222,0.5347222,-1.5278294,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,1.9345195,0
Matsunaga,Spark,HI,5,5,30,0,5,1,15,30,0,0,0,0,1,0,0,97,473,10605,1980,1,0,1976,0,0,0,54,-0.3310000002384186,0,0,3,1,0.2460000067949295,0,0,61,20,6,5,0,0.5051534175872803,0.8292952179908752,0.3479999899864197,1,1,0,0.598698079586029,2,0.4211394786834717,2,97.10605,10605,464,100,150,61,93,57,15,7.4,23.531746031746,7,97,97.10605,146,31,90,56,15,7.4,23.531746031746,7,NA,0.739130434782609,2916,38,0.23531745,0.38,32.786884,9.836065,83.333336,0,100,0,0.055374306,0.46666667,0.114754096,46,0.75409836,0.23531745,38.356163,0.38356164,-0.8592094,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.6091257,0
Grassley,Chuck,IA,0,1,3,0,0,1,21,23,0,1,3,3,3,1,3,97,448,14226,1980,0,1,1980,0,0,0,53,0.21699999272823337,0,1,1,1,0.26600000262260437,0,0,29,25,4,4,1,1.1987043619155884,NA,0.19999998807907104,1,0,1,0.05069810897111893,6,0.9561834931373596,2,97.14226,14226,294,200,126,29,27,99,7,7.42857142857143,41.547619047619,5,97,97.14226,122,26,26,96,7,7.42857142857143,41.547619047619,5,0.375,0.0666666666666667,2809,21.428572,0.4154762,0.21428572,86.206894,13.793103,100,25,96.55173,0,0.17262048,0.71428573,0.1724138,22,0.7586207,0.4154762,21.311476,0.21311475,0.086581774,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.7151109,1
Jepsen,Roger,IA,0,0,2,0,0,2,34,43,0,0,2,2,2,1,1,97,462,14707,1980,0,1,1978,0,0,0,51,0.2939999997615814,0,1,2,1,0.26600000262260437,0,0,47,36,4,1,1,1.138033151626587,0.162985697388649,0.2770000100135803,0,0,0,0.0263018999248743,6,0.9889922142028807,2,97.14707,14707,384,200,92,47,15,77,17,7.23529411764706,23.700662083015,9,97,97.14707,90,45,14,76,17,7.23529411764706,23.700662083015,9,0.25,0,2601,16.304348,0.23700662,0.16304348,76.59574,8.510638,25,100,97.87234,0,0.056172136,0.5294118,0.19148937,30,0.63829786,0.23700662,15.555555,0.15555555,-0.8503417,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.92708135,1
McClure,James,ID,0,0,7,0,0,6,23,46,2,4,12,12,12,6,9,97,475,11029,1980,0,1,1972,0,0,0,68,0.5099999904632568,1,0,5,1,0.17900000512599945,1,0,65,35,18,13,8,4.261936187744141,0.4850500226020813,0.49300000071525574,1,0,0,0.24230189621448517,2,2.1877927780151367,3,97.11029,11029,475,200,60,65,9,51,22,5.86363636363636,20.7638888888889,8,97,97.11029,59,58,8,51,22,5.86363636363636,20.7638888888889,8,0.422222222222222,0.166666666666667,4624,15,0.20763889,0.15,53.846153,27.692308,72.22222,61.53846,87.69231,0,0.04311391,0.36363637,0.12307692,43,0.6615385,0.20763889,13.559322,0.13559322,-1.0045154,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.8746674,8
Symms,Steven,ID,0,0,1,0,0,2,21,29,0,1,2,2,2,1,1,97,502,14056,1980,0,1,1980,0,0,0,50,0.625,0,1,1,0,0,0,0,32,23,4,2,1,0.9733520150184632,NA,0.6079999804496765,1,0,1,0.35730189085006714,2,0.9561834931373596,2,97.14056,14056,677,200,148,32,23,125,20,3.65,23.9393939393939,10,97,97.14056,147,31,23,124,20,3.65,23.9393939393939,10,0.7,0.0434782608695652,2500,15.540541,0.23939393,0.1554054,71.875,12.5,50,50,96.875,0,0.057309456,0.5,0.3125,12,0.375,0.23939393,15.646258,0.15646258,-0.83780885,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-1.0330665,1
Dixon,Alan,IL,0,0,1,0,0,0,8,12,0,0,0,0,0,0,0,97,435,14902,1980,1,0,1980,0,0,0,56,-0.19499999284744263,0,0,1,1,0.3440000116825104,0,0,13,8,0,0,0,0.15426331758499146,NA,0.21199999749660492,0,0,1,0.4626981019973755,24,0.35552194714546204,1,97.14902,14902,207,100,99,13,40,59,9,3.44444444444444,39.8148148148148,5,97,97.14902,97,12,39,58,9,3.44444444444444,39.8148148148148,5,NA,0.761904761904762,3136,59.59596,0.39814815,0.5959596,61.53846,0,NA,NA,100,0,0.15852195,0.5555556,0.3846154,4,0.30769232,0.39814815,59.793816,0.5979382,-0.0043864455,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.39715523,0
Percy,Charles,IL,0,1,3,0,0,6,28,42,3,4,9,10,10,2,5,97,485,11205,1980,0,1,1966,0,0,0,53,0.08699999749660492,1,1,8,0,0,0,0,55,39,15,9,5,2.9520435333251953,0.4665798544883728,0.07000000029802322,1,0,0,0.18069809675216675,24,2.3671953678131104,2,97.11205,11205,554,200,94,55,20,74,21,7.52380952380952,48.1986531986532,17,97,97.11205,93,52,20,73,21,7.52380952380952,48.1986531986532,17,0.375,0.161290322580645,2809,21.276596,0.48198652,0.21276596,70.90909,27.272728,60,55.555557,90.90909,0,0.23231101,0.8095238,0.3090909,34,0.6181818,0.48198652,21.505377,0.21505377,0.43574536,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.7151109,5
Lugar,Richard,IN,0,0,1,0,0,1,15,19,0,1,3,3,3,1,1,97,471,14506,1980,0,1,1976,0,0,0,65,0.31299999356269836,0,1,3,0,0,0,0,23,18,4,2,1,0.9134433269500732,0.24841994047164917,0.29600000381469727,1,1,0,0.0453018918633461,11,1.0218009948730469,2,97.14506,14506,447,200,125,23,33,92,20,7.35,28.9420180352843,11,97,97.14506,120,22,31,89,19,7.68421052631579,30.4652821424045,11,0.156862745098039,0.193548387096774,4225,26.4,0.2894202,0.264,78.26087,17.391304,50,50,95.652176,0,0.08376405,0.55,0.47826087,3,0.13043478,0.3046528,25.833334,0.25833333000000003,-0.57518274,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.55671173,1
Quayle,Dan,IN,0,0,2,0,0,1,14,18,1,1,3,4,4,2,2,97,489,14447,1980,0,1,1980,0,0,0,54,0.4339999854564667,0,1,1,0,0,0,0,24,18,4,3,3,1.3256878852844238,NA,0.4169999957084656,0,0,1,0.166301891207695,11,0.9561834931373596,2,97.14447,14447,569,200,69,24,11,58,9,4.66666666666667,44.4949494949495,6,97,97.14447,68,22,11,57,9,4.66666666666667,44.4949494949495,6,0.454545454545455,0.0909090909090909,2916,15.942029,0.4449495,0.1594203,75,16.666666,75,100,87.5,0,0.19798006,0.6666667,0.25,15,0.625,0.4449495,16.17647,0.1617647,0.24130972,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.6091257,3
Dole,Robert,KS,0,0,2,0,0,7,31,49,2,3,6,10,13,0,4,97,437,10513,1980,0,1,1968,0,0,0,64,0.28299999237060547,1,1,7,1,0.16899999976158142,0,0,64,41,13,7,2,2.271738767623902,0.7438703179359436,0.26600000262260437,1,0,0,0.01530189253389835,5,2.3343865871429443,2,97.10513,10513,214,200,64,64,17,47,39,10.2307692307692,32.4663916747477,28,97,97.10513,61,62,14,47,39,10.2307692307692,32.4663916747477,28,0.244178207413502,0.08,4096,26.5625,0.3246639,0.265625,64.0625,20.3125,53.846153,28.571428,96.875,0,0.10540665,0.71794873,0.4375,25,0.390625,0.3246639,22.950819,0.22950819,-0.39016148,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.4507265,2
Kassebaum,Nancy,KS,1,1,3,0,1,0,10,12,0,0,2,3,3,0,1,97,464,14708,1980,0,1,1978,1,0,0,54,0.1770000010728836,0,1,2,0,0,0,0,18,14,3,2,0,0.5059779286384583,0.5439245700836182,0.1599999964237213,1,0,0,0.09069810062646866,5,0.9889922142028807,2,97.14708,14708,396,200,56,18,16,40,8,10.125,49.9885531135531,7,97,97.14708,53,15,15,38,8,10.125,49.9885531135531,7,0.559523809523809,0.153846153846154,2916,28.571428,0.49988553,0.28571427,77.77778,16.666666,66.666664,0,100,0,0.24988554,0.875,0.3888889,10,0.5555556,0.49988553,28.301888,0.2830189,0.52971095,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.6091257,0
Ford,Wendell,KY,4,5,13,0,4,1,5,8,1,1,0,0,0,0,0,97,443,14302,1980,1,0,1974,0,0,0,65,-0.2370000034570694,0,0,4,1,0.07800000160932541,0,0,21,10,5,5,1,0.36611267924308777,0.9432050585746764,0.2540000081062317,1,0,0,0.5046980977058411,7,0.4539482593536377,2,97.14302,14302,255,100,99,21,60,39,6,6.5,42.2863247863248,5,97,97.14302,97,8,59,38,6,6.5,42.2863247863248,5,NA,0.681818181818182,4225,39.39394,0.42286325,0.3939394,47.61905,23.809525,100,20,95.2381,0,0.17881332,0.8333333,0.23809524,15,0.71428573,0.42286325,39.17526,0.3917526,0.12536201,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.55671173,1
Huddleston,Walter,KY,0,0,2,0,0,0,7,13,0,0,2,2,2,1,1,97,458,14106,1980,1,0,1972,0,0,0,61,-0.2619999945163727,0,0,5,1,0.07800000160932541,0,0,17,9,2,1,1,0.6306645274162292,0.6098165512084961,0.2789999842643738,1,0,0,0.5296980738639832,7,0.4867570400238037,2,97.14106,14106,357,100,132,17,69,63,14,3.07142857142857,37.0578231292517,9,97,97.14106,129,15,67,62,13,3.23076923076923,39.9084249084249,9,1,0.75,3721,47.727272,0.37057823,0.47727272,52.941177,11.764706,50,100,94.117645,0,0.13732822,0.64285713,0.5294118,3,0.1764706,0.39908424,48.062016,0.48062015,-0.14912206,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.13277087,1
Johnston,J.,LA,0,0,1,0,0,2,13,18,0,2,1,1,1,0,0,97,463,14107,1980,1,0,1972,0,0,0,59,-0.1589999943971634,0,0,5,1,0.15000000596046448,0,0,20,14,3,2,0,0.48920661211013794,0.9622377753257751,0.17599999904632568,1,0,0,0.42669808864593506,8,0.4867570400238037,2,97.14107,14107,392,100,99,20,46,53,8,5.375,22.3557692307692,4,97,97.14107,97,19,46,51,8,5.375,22.3557692307692,4,0.538461538461538,0.769230769230769,3481,53.535355,0.2235577,0.53535354,70,15,66.666664,0,100,0,0.049978044,0.5,0.2,12,0.6,0.2235577,52.57732,0.5257732,-0.9209454,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.079199575,0
Long,Russell,LA,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,97,470,5767,1980,1,0,1948,0,0,0,58,-0.11500000208616255,0,0,17,0,0,0,0,10,6,0,0,0,0.12119697034358978,0.6798945069313049,0.13199999928474426,1,0,0,0.3826980888843536,8,0.8804622888565063,1,97.5767,5767,442,100,58,10,28,30,6,8.83333333333333,41.4396367521367,5,97,97.5767,57,10,27,30,6,8.83333333333333,41.4396367521367,5,NA,0.833333333333333,3364,51.724136,0.41439638,0.51724136,60,0,NA,NA,100,0,0.17172435,0.8333333,0.5,4,0.4,0.41439638,52.63158,0.5263158,0.08091293,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.18518479,0
Kennedy,Edward,MA,0,0,0,0,0,0,6,9,0,0,0,0,1,0,0,97,466,10808,1980,1,0,1962,0,0,0,69,-0.4569999873638153,0,0,10,0,0,0,0,10,6,0,0,0,0.12766695022583008,4.452232360839844,0.4739999771118164,0,1,0,0.7246980667114258,12,0.650800883769989,1,97.10808,10808,403,100,97,10,54,43,5,5.4,16.4285714285714,2,97,97.10808,94,10,52,42,5,5.4,16.4285714285714,2,0.25,0.72,4761,44.329895,0.16428572,0.44329894,60,0,NA,NA,100,0,0.026989797,0.4,0.2,5,0.5,0.16428572,44.68085,0.44680852,-1.2321093,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.98065263,0
Tsongas,Paul,MA,0,0,11,0,0,0,8,15,0,0,1,1,1,1,1,97,505,14279,1980,1,0,1978,0,0,0,55,-0.3930000066757202,0,0,2,0,0,0,0,27,9,1,1,1,0.5738624334335327,0.3693451285362244,0.4099999964237213,1,0,0,0.6606981158256531,12,0.3883307278156281,2,97.14279,14279,703,100,117,27,59,58,11,3.63636363636364,27.3809523809524,5,97,97.14279,112,16,56,56,11,3.63636363636364,27.3809523809524,5,NA,0.80952380952381,3025,49.57265,0.27380952,0.4957265,33.333332,3.7037036,100,100,96.296295,0,0.07497165,0.45454547,0.18518518,16,0.5925926,0.27380952,50,0.5,-0.65713507,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,-0.50314045,1
Mathias,Charles,MD,2,4,22,0,2,10,41,58,7,9,4,5,6,1,2,97,472,10535,1980,0,1,1968,0,0,0,66,-0.11500000208616255,1,1,7,1,0.25200000405311584,0,0,86,50,16,13,8,3.0644752979278564,0.8627650141716003,0.13199999928474426,1,0,0,0.3826980888843536,8,2.3343865871429443,2,97.10535,10535,462,200,87,86,40,47,33,10.8484848484848,68.9731583705978,31,97,97.10535,84,64,37,47,30,9.13333333333333,68.5178172028267,28,0.42328370554177,0.363636363636364,4356,45.977013,0.6897316,0.4597701,58.139534,18.60465,81.25,61.53846,90.69768,0,0.47572967,0.93939394,0.3604651,53,0.61627907,0.68517816,44.04762,0.44047618,1.5263582,4,54,4,-0.2965,0.254,0.55050004,-1.2004739,0.66269696,8
